abbr,state,firearms,deaths
AL,Alabama,20,19.7
AK,Alaska,15.2,23.4
AZ,Arizona,9.4,13.8
AR,Arkansas,41.6,17
CA,California,7.6,7.7
CO,Colorado,12,12.6
CT,Connecticut,11.3,5.3
DE,Delaware,4.2,12.1
DC,District of Columbia,66.4,15.3
FL,Florida,10.2,12
GA,Georgia,14.6,14.1
HI,Hawaii,5.1,3.6
ID,Idaho,24.2,14.9
IL,Illinois,9.2,9.5
IN,Indiana,14.1,12.7
IA,Iowa,6.1,7.8
KS,Kansas,11,11.4
KY,Kentucky,13.5,15.2
LA,Louisiana,15.1,20.5
ME,Maine,8.7,9.8
MD,Maryland,15,11.9
MA,Massachusetts,4.9,3
MI,Michigan,4.3,11.7
MN,Minnesota,9.5,7.4
MS,Mississippi,6.8,19.7
MO,Missouri,8.5,18.2
MT,Montana,11.3,19.4
NE,Nebraska,7.4,8.9
NV,Nevada,19.5,15
NH,New Hampsire,14.6,8.9
NJ,New Jersey,5.8,5.4
NM,New Mexico,40.5,18.6
NY,New York,3.3,4.2
NC,North Carolina,11.1,12.6
ND,North Dakota,9.5,12.8
OH,Ohio,11.4,11.9
OK,Oklahoma,12.3,18
OR,Oregon,11.4,11.4
PA,Pennsylvania,15,11.4
RI,Rhode Island,3.8,4.7
SC,South Carolina,11.6,17.3
SD,South Dakota,11.5,11.1
TN,Tennessee,11.3,15.9
TX,Texas,12.8,11.8
UT,Utah,12.9,12.9
VT,Vermont,6.4,9.6
VA,Virginia,30.1,10.9
WA,Washington,8.6,9.8
WV,West Virginia,9.4,14.1
WI,Wisconsin,7.8,10.4
WY,Wyoming,195.7,19.8